"Row.names","Connectivity","PValue","pert_id","pert_iname","pert_type","cell_id","pert_idose","pert_itime","distil_id"
"CPC006_PL21_6H:BRD-K88560311-011-02-2:10"," 0.22896","0.8359900","BRD-K88560311","rucaparib","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:C11|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:C11"
"CPC006_PL21_6H:BRD-A63646118-001-01-8:151.2"," 0.23406","0.6696400","BRD-A63646118","fumonisin-b1","trt_cp","PL21","100 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:P14|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:P14"
"CPC006_PL21_6H:BRD-K09499853-305-01-1:10"," 0.23587","0.7853800","BRD-K09499853","KU-0060648","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:A19"
"CPC006_PL21_6H:BRD-K57080016-001-04-3:80"," 0.23826","0.6844000","BRD-K57080016","selumetinib","trt_cp","PL21","80 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:D04|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:D04"
"CPC006_PL21_6H:BRD-K79382620-001-01-1:11.1"," 0.24021","0.6518200","BRD-K79382620","TH02453-036-P1","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:O21|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:O21"
"CPC006_PL21_6H:BRD-K76188144-001-01-2:160"," 0.24065","0.8250000","BRD-K76188144","BRD-K76188144","trt_cp","PL21","100 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:F01|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:F01"
"CPC006_PL21_6H:BRD-K73395020-001-01-5:10"," 0.24438","0.8299000","BRD-K73395020","ARP-101","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:K04|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:K04"
"CPC006_PL21_6H:BRD-K39503511-001-02-1:80"," 0.24506","0.8101300","BRD-K39503511","quiflapon","trt_cp","PL21","80 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:O16|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:O16"
"CPC006_PL21_6H:BRD-A36318220-001-04-7:160"," 0.24854","0.7852700","BRD-A36318220","necrostatin-1","trt_cp","PL21","100 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:F08|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:F08"
"CPC006_PL21_6H:BRD-K69932463-001-03-1:10"," 0.24854","0.7364900","BRD-K69932463","AZD-8055","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:C04|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:C04"
