Regulator	Target	MI	pvalue
860	3836	0.5371463668276389	0.0425768737026786
1959	26012	0.611007560623484	0.0425768737026786
6925	3433	0.6128177262165999	2.5472528666359295E-6
2309	64761	0.6658222455419673	1.3368398610325016E-8
11108	1785	0.5799152538250485	0.0425768737026786
54897	5018	0.5809059087274071	0.0425768737026786
23394	116064	0.556314466349427	3.775178474418883E-4
11108	1725	0.6479672798552879	0.0425768737026786
4790	27248	0.6094631561741894	7.639084920185724E-10
79027	55069	0.6159698248264799	0.0425768737026786
79027	55072	0.5649750621069463	0.004158358029649367
6256	6916	0.5596730200792944	0.004158358029649367
158399	157657	0.6728998740837082	0.0
4799	51150	0.6046946294507444	0.0425768737026786
4335	442578	0.6321222607591419	3.775178474418883E-4
400713	344787	0.6417108072555049	0.0
158399	157777	0.5824183869490485	3.201502294625236E-5
326	7766	0.657647452116138	0.0
7050	79042	0.543327817049975	3.775178474418883E-4
79027	55030	0.5156381151212676	1.909771230046431E-7
7678	339229	0.5241083961507563	0.0
11179	642590	0.6797173590122481	0.0425768737026786
860	3148	0.5862026682659104	0.0425768737026786
2908	3065	0.6078219286084847	0.004158358029649367
22850	728908	0.5553627983049414	0.0425768737026786
860	3420	0.59592096463017	1.909771230046431E-7
2908	3096	0.6520327946873924	0.0
64919	130589	0.5576229355020089	1.3368398610325016E-8
79027	55328	0.5144158556978053	0.0425768737026786
140467	285172	0.599291578652477	1.909771230046431E-7
57109	64083	0.6261181613487027	0.0425768737026786
7716	79004	0.6271975687270066	1.909771230046431E-7
7716	79005	0.6049789549600283	1.3368398610325016E-8
4790	27348	0.6673581985001883	3.775178474418883E-4
860	3338	0.5977708033321393	0.004158358029649367
2908	3142	0.630555794782945	0.0425768737026786
860	3383	0.5935510977412161	0.0425768737026786
3663	8992	0.5471022250749381	0.0425768737026786
4799	51559	0.5980625779843384	2.5472528666359295E-6
162966	4542	0.587084500091116	0.0425768737026786
84146	84640	0.6246950368680616	0.0
8848	156	0.6379944252527873	0.0
8848	166	0.596762975886898	0.0425768737026786
2908	3383	0.6781632607124651	0.0
8848	100	0.6713362584379114	0.0
2908	3376	0.61499320977917	3.775178474418883E-4
22834	129531	0.5717811590873786	0.0425768737026786
22887	283643	0.532801534118335	0.004158358029649367
8848	488	0.6294237769100642	3.775178474418883E-4
162966	4700	0.567982640023252	0.0
2908	3420	0.5962462367335175	1.909771230046431E-7
81931	202781	0.6701534109416388	3.775178474418883E-4
7704	2117	0.594378089478118	0.0
860	3096	0.5682510985849051	0.0
11108	55239	0.6080643521446969	0.0425768737026786
2908	3570	0.6579772784990338	3.201502294625236E-5
8848	327	0.6146272179578262	3.201502294625236E-5
8848	308	0.5851104909931281	1.909771230046431E-7
1870	6427	0.5499255112712745	0.0425768737026786
25888	63027	0.56275656758033	1.909771230046431E-7
126299	25873	0.6092369970276225	0.0
4780	196527	0.7398319710886442	3.775178474418883E-4
23099	6809	0.6074808320232838	0.0
5612	64844	0.6451688364976597	7.639084920185724E-10
126299	25901	0.5477995245194754	3.201502294625236E-5
23099	6885	0.6132265734966499	0.0
1786	1848	0.5403070953662471	0.0425768737026786
57215	57325	0.6297603010825471	3.775178474418883E-4
1786	1871	0.600547667003273	0.0
6294	57693	0.502729923076738	1.909771230046431E-7
79027	55810	0.5371114701619893	3.775178474418883E-4
7110	79877	0.638256010101263	0.0
22834	80736	0.717738490174243	0.0
2117	59307	0.5785626615713478	0.004158358029649367
4097	1441	0.5507001232886838	0.0
4097	1495	0.5967859766485554	0.004158358029649367
51317	83692	0.5640469471250853	0.0
4089	51734	0.7018736801211436	0.0
4800	1499	0.6313302552757489	0.0
84146	5932	0.6263772502158351	3.775178474418883E-4
84146	5962	0.5949771565008871	3.201502294625236E-5
57215	57162	0.5500416319078721	0.004158358029649367
6672	51056	0.693276668638567	0.0
6672	51060	0.6835678988539362	0.0
4089	51693	0.6296141264611756	0.0
57215	57109	0.5114184900545122	2.5472528666359295E-6
6672	51191	0.7204962762194546	0.0
6672	51192	0.691643967621767	0.0
7110	79624	0.6182846064731368	0.0
7110	79627	0.59126018172024	0.004158358029649367
7110	79657	0.5871920003537431	7.639084920185724E-10
6672	51131	0.773844455919318	0.0
221302	10015	0.539578838788811	0.0425768737026786
7110	79713	0.6175087165375452	3.775178474418883E-4
4335	339192	0.6158285659858485	0.0425768737026786
79027	55500	0.5363183693192752	1.3368398610325016E-8
10362	79897	0.6398688667280686	7.639084920185724E-10
6668	642333	0.6288695912464214	0.0
51523	29086	0.5651074709863768	0.004158358029649367
6256	6604	0.61194927554997	0.004158358029649367
221302	10772	0.5420205850208731	2.5472528666359295E-6
57215	57017	0.5799877397931322	0.0425768737026786
7182	1175	0.6566688408805075	0.0
7701	51582	0.537384426012219	0.004158358029649367
7182	1524	0.616324106663905	0.0
7182	1495	0.6803771260624641	7.639084920185724E-10
7701	51493	0.6703243016986371	3.775178474418883E-4
6256	6813	0.6233516534093708	3.775178474418883E-4
1874	28991	0.5715154529313168	0.0
221302	10572	0.5673180028348493	3.201502294625236E-5
